"4,4,5","5,5,8","8,8,10"
"4, 4, 4","4, 4, 4","7, 7, 7"
"4, 4, 6","4, 4, 9","7, 7, 7"
"4, 4, 4","4, 4, 4","7, 7, 7"
"4, 4, 6","4, 4, 9","7, 7, 7"
"4, 4, 6","4, 4, 4","7, 7, 7"
