rmse,rate,dim,rank,cons
1.250414311,0.0625,20,5,n
0.346719425,0.015625,40,5,n
0.215207026,0.006944444,60,5,n
1.702567535,0.0625,20,5,v
0.350412675,0.015625,40,5,v
0.217995801,0.006944444,60,5,v
1.954234128,0.0625,20,5,c
0.347255556,0.015625,40,5,c
0.215540525,0.006944444,60,5,c
